Parameter,Level1,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq
Intercept,,1,6.8260,0.7051,5.4440,8.2080,93.72,<.0001
Age,,1,-0.0037,0.0093,-0.0218,0.0145,0.16,0.6932
Gender,M,1,0.3568,0.2132,-0.0610,0.7747,2.80,0.0942
Gender,F,0,0.0000,0.0000,0.0000,0.0000,,
QuietTime,,1,0.0074,0.0029,0.0018,0.0130,6.74,0.0095
NChildren,,1,0.1204,0.1086,-0.0925,0.3334,1.23,0.2677
StressLevel,,1,-0.1398,0.0536,-0.2450,-0.0347,6.80,0.0091
JobStatus,part,1,1.0484,0.3188,0.4235,1.6732,10.81,0.0010
JobStatus,student,1,0.6286,0.4358,-0.2255,1.4828,2.08,0.1492
JobStatus,unempl,1,0.3818,0.2857,-0.1781,0.9418,1.79,0.1814
JobStatus,full,0,0.0000,0.0000,0.0000,0.0000,,
NActivities,,1,0.0204,0.0345,-0.0472,0.0879,0.35,0.5545
PastVac,,1,0.0050,0.0170,-0.0282,0.0383,0.09,0.7663
Scale,,1,0.7214,0.0721,0.5930,0.8776,_,_
