"Cities, provincies",2011 Population density (Person/km2),2012 Population density (Person/km2),2013 Population density (Person/km2),2014 Population density (Person/km2),2015 Population density (Person/km2)
WHOLE COUNTRY,266.34,269.53,272.5,275.57,278.66
Red River Delta,959.59,975.03,987,1000.98,1014.64
Ha Noi,2050.47,2103.57,2144.33,2191.47,2236.01
Vinh Phuc,832.59,847.06,857.02,870.16,881.13
Bac Ninh,1303.49,1342.76,1385.54,1430.73,1481.1
Quang Ninh,193.62,196.38,198.21,201.18,203.46
Hai Duong,1055.45,1067.53,1074.68,1084.41,1094.69
Hai Phong,1238.15,1255.29,1265.01,1277.14,1289.45
Hung Yen,1242.7,1255.84,1269.46,1283.64,1298.06
Thai Binh,1145.65,1150.63,1155.71,1160.19,1165.2
Ha Nam,924.63,930.63,938.33,945.56,956.26
Nam Dinh,1100.16,1096.15,1092.94,1089.73,1086.92
Ninh Binh,655.75,668.98,674.87,681.85,688.52
Northern midlands and mountain areas,118.74,120.1,121.49,123.22,124.99
Ha Giang,94.7,96.46,98.42,100.12,101.92
Cao Bang,76.63,76.91,77.2,77.55,77.87
Bac Kan,61.47,61.9,62.09,62.34,62.89
Tuyen Quang,125.03,125.87,126.7,127.76,128.88
Lao Cai,99.96,101.74,103.54,105.36,107.22
Yen Bai,110.17,111.19,112.48,113.78,115.17
Thai  Nguyen,322.63,325.09,326.88,339.12,348.35
Lang Son,89.04,89.55,90.01,90.45,91.07
Bac Giang,412.6,417.72,423.58,427.81,433.04
Phu Tho,376.22,379.47,383.56,388.78,394.05
Dien Bien,53.62,54.78,55.94,57.1,58.26
Lai Chau,43.32,44.43,45.71,46.47,47.18
Son La,78.68,79.71,80.7,81.82,83.07
Hoa Binh,174.06,175.41,176.35,177.84,179.79
Northern Central area and Central coastal area,199.46,200.9,202.35,203.6,205.08
Thanh Hoa,307.91,309.86,313.08,315.12,317.8
Nghe An,181.65,184.1,186.53,188.98,191.67
Ha Tinh,206.21,207.09,208.02,209.29,210.29
Quang Binh,105.96,106.6,107.25,107.93,108.56
Quang Tri,127.58,128.23,128.91,129.62,130.36
Thua Thien-Hue,218.7,219.7,220.5,220.85,221.47
Da Nang,753.58,775.08,791.45,804.37,821.77
Quang  Nam,137.65,138.33,139.04,139.85,140.65
Quang  Ngai,236.78,237.11,237.39,237.65,237.97
Binh Dinh,245.84,245.84,245.85,245.86,245.86
Phu Yen,170.72,170.9,170.99,171.06,171.17
Khanh  Hoa,224.28,225.69,227.1,228.48,229.68
Ninh  Thuan,169.09,170.12,170.71,171.34,172.2
Binh Thuan,151.12,152.26,152.91,153.24,154.28
Central Highlands,96.59,98.06,99.54,100.83,102.2
Kon Tum,46.61,47.75,48.84,49.97,51.18
Gia Lai,86,87.53,89.01,90.31,91.81
Dak Lak,134.12,135.41,136.72,137.58,138.67
Dak Nong,78.68,81.25,84.12,86.71,89.09
Lam Dong,124.54,125.72,126.86,128.01,129.06
South East,635.89,651.38,666.81,682.2,697.25
Binh Phuoc,130.91,132.63,134.39,135.98,137.84
Tay Ninh,269.84,273.14,275.6,277.92,280.19
Binh  Duong,630.91,664.23,695.32,734.06,767.96
Dong Nai,450.6,460.29,469.16,479.29,489.23
Ba Ria - Vung Tau,523.14,531.71,541.27,549.57,555.06
Ho Chi Minh city,3633.05,3717.25,3805.12,3882.56,3964.64
Mekong River Delta,424.62,425.43,425.66,425.62,425.54
Long An,334.81,344.97,353.49,358.55,361.78
Tien Giang,670.81,674.74,679.97,683.89,688.92
Ben Tre,534.89,537.28,538.13,539.24,540.64
Tra Vinh,428.99,429.32,429.53,429.8,430.08
Vinh Long,684.69,679.52,673.49,673.43,673.07
Dong Thap,489.56,487.46,485.15,483.12,481.12
An Giang,593.08,587.54,580.09,572.45,565.75
Kien  Giang,266.91,267.49,267.95,268.32,268.63
Can Tho,848.78,852.33,853.96,855.79,857.76
Hau Giang,469.72,468.47,466.73,464.9,463.31
Soc Trang,384.69,382.42,378.96,376.13,373.32
Bac Lieu,351.15,353.28,355.26,357.34,359.42
Ca Mau,227.48,227.29,227.02,226.77,226.54
