"Cities, provincies",In-migration rate 2010,In-migration rate 2011,In-migration rate 2012,In-migration rate 2013,In-migration rate 2014,In-migration rate 2015
WHOLE COUNTRY,9.7,10.4,7.2,8.8,9.2,5.5
Red River Delta,3.5,4.5,2.7,3.6,3.1,1.8
Ha Noi,10.8,11,6.1,7.7,7.5,4.7
Ha Tay,..,..,..,..,..,..
Vinh Phuc,4.8,4.3,2.9,6.4,4.9,2.8
Bac Ninh,9.8,13.4,12.7,19.4,15.4,16
Quang Ninh,3.7,3.6,2,4.5,3.8,1.7
Hai Duong,5,7.8,5.6,5.6,4,1.4
Hai Phong,7,7.1,6,6.6,4,2.9
Hung Yen,6.5,8,7,10.9,7.4,3.5
Thai Binh,2.7,2.3,1.2,2.2,4.7,0.5
Ha Nam,4.1,6.6,1.4,6.1,6.7,2.6
Nam Dinh,4.1,6.1,2.3,3.5,4.6,0.6
Ninh Binh,5.9,10.2,10.2,11.9,7.9,5.6
Northern midlands and mountain areas,2.3,2.8,1.6,2.7,2.3,1.1
Ha Giang,1.9,2.4,1.3,2.8,1.4,1.1
Cao Bang,4.7,4.6,4.4,8.1,3.3,4
Bac Kan,4.6,4.8,3.1,4.7,4,2.2
Tuyen Quang,2.8,3.7,2.1,3.3,3.9,1.4
Lao Cai,3.7,3.4,2.9,4.4,2,1.9
Yen Bai,3.4,4.4,1.8,4,4.4,2.2
Thai  Nguyen,11.5,7.7,4.7,4.1,6.5,3.5
Lang Son,3,6.2,3.5,6.1,2,2.4
Bac Giang,3,5.5,3.2,4.6,4.8,3.1
Phu Tho,2.4,4.5,3.1,6.7,5.2,2.7
Dien Bien,3.6,3.9,3.4,4.7,4.4,2
Lai Chau,3.5,3.5,3.9,5,3.8,1.6
Son La,2,2.7,1.3,2.6,2,0.6
Hoa Binh,3.8,5.6,2.1,2.7,3.4,1.8
Northern Central area and Central coastal area,3.1,4.7,2.1,5,5.3,2.6
Thanh Hoa,6.8,9.8,5.1,13.3,5.7,3.5
Nghe An,2.7,4.8,1,6.8,19.4,10.1
Ha Tinh,4.7,6.2,3.7,6.9,10.9,3.9
Quang Binh,2.4,4,7.6,6.5,5.8,3.2
Quang Tri,5.6,4.9,3.6,5.3,6.2,4.7
Thua Thien-Hue,8.3,13.5,5,6.8,7.1,3
Da Nang,29.8,22.8,17.5,15.5,14,11.6
Quang  Nam,4.9,8.8,3.3,6.2,4.6,2.5
Quang  Ngai,2.3,5.4,1.8,4.2,3.6,1.5
Binh Dinh,6,6.6,2.8,3.7,4.4,2.3
Phu Yen,2.5,6.1,3.2,3.9,3.9,1.4
Khanh  Hoa,3.7,5,3.1,3.4,3.5,1.6
Ninh  Thuan,2.9,3.8,3.6,7.4,4,1.8
Binh Thuan,4.2,2.1,2.3,5.3,2.4,1
Central Highlands,5.7,6,8.7,8.3,7.7,2.3
Kon Tum,6.7,8.8,11.8,13.3,6.7,3.9
Gia Lai,3.7,4.9,4.9,8,5.2,1.7
Dak Lak,6.9,7.7,8.4,9.7,3.7,2.5
Dak Nong,7.3,5.7,42.3,18.4,42.7,3.8
Lam Dong,8.6,9.2,6.8,8,6,3.9
South East,24.8,23.4,15.5,15.7,18.5,12.8
Binh Phuoc,10.3,10.9,6.7,7.1,8,3.1
Tay Ninh,3.3,5.8,3.9,3.6,5.7,1.8
Binh  Duong,89.6,64.8,59.1,54.5,70.2,52
Dong Nai,27.2,31.4,18.5,14.6,23.6,20.4
Ba Ria - Vung Tau,13.3,16.5,10.5,10.8,15,6
Ho Chi Minh city,26.2,25,14.8,16.5,16.9,10.4
Mekong River Delta,1.8,3.1,1.5,2.7,2.2,1.1
Long An,5.5,3.8,4.7,4.7,6.2,4.5
Tien Giang,9,8.5,8.1,9.8,7.6,4.3
Ben Tre,2.2,5.8,2.5,5.3,7.4,3.7
Tra Vinh,5,11.4,4,9.5,7.4,2.8
Vinh Long,4.2,7.6,8,9.9,5.6,2.5
Dong Thap,4.1,5.8,2.5,3.8,3.2,1.8
An Giang,3.6,3.9,2.2,3.1,4.3,2.1
Kien  Giang,5.8,7.3,4.4,4.1,3,2
Can Tho,9.8,6.9,8.9,9.6,8.2,3.1
Hau Giang,4,7.7,7.7,6.7,4.5,1.8
Soc Trang,2.8,3.1,2,3.2,3.4,1
Bac Lieu,2.6,3,2.4,2.5,2.5,1.3
Ca Mau,2.5,4.2,2.4,2.9,2.8,0.5
