_MAP_GEOMETRY_,COUNTRY,ID,IDNAME,REGION,PROVINCE,REGNAME
id 1 of maps.vietnam,945,1,An Giang,1,1,Cuu Long River Delta
id 3 of maps.vietnam,945,3,Ben Tre,1,1,Cuu Long River Delta
id 5 of maps.vietnam,945,5,Cao Bang,2,7,Eastern North Vietnam
id 7 of maps.vietnam,945,7,Dac Lak,7,4,Southern Central Highlands
id 9 of maps.vietnam,945,9,Dong Thap,1,1,Cuu Long River Delta
id 13 of maps.vietnam,945,13,Thanh Pho Hai Phong,5,6,Red River Delta
id 20 of maps.vietnam,945,20,Thanh Pho Ho Chi Minh,3,2,Eastern South Vietnam
id 21 of maps.vietnam,945,21,Kien Giang,1,1,Cuu Long River Delta
id 22 of maps.vietnam,945,22,Lai Chau,8,7,Western North Vietnam
id 23 of maps.vietnam,945,23,Lam Dong,3,2,Eastern South Vietnam
id 24 of maps.vietnam,945,24,Long An,1,1,Cuu Long River Delta
id 25 of maps.vietnam,945,25,Dao Tho Chu,1,1,Cuu Long River Delta
id 30 of maps.vietnam,945,30,Quang Ninh,2,7,Eastern North Vietnam
id 32 of maps.vietnam,945,32,Son La,8,7,Western North Vietnam
id 33 of maps.vietnam,945,33,Tay Ninh,3,2,Eastern South Vietnam
id 34 of maps.vietnam,945,34,Thanh Hoa,4,5,Northern Central Vietnam
id 35 of maps.vietnam,945,35,Thai Binh,5,6,Red River Delta
id 37 of maps.vietnam,945,37,Tien Giang,1,1,Cuu Long River Delta
id 39 of maps.vietnam,945,39,Lang Son,2,7,Eastern North Vietnam
id 43 of maps.vietnam,945,43,Dong Nai,3,2,Eastern South Vietnam
id 44 of maps.vietnam,945,44,Thu Do Ha Noi,5,6,Red River Delta
id 45 of maps.vietnam,945,45,Ba Ria-Vung Tau,3,2,Eastern South Vietnam
id 46 of maps.vietnam,945,46,Binh Dinh,6,3,Southern Central Vietnam
id 47 of maps.vietnam,945,47,Binh Thuan,3,3,Eastern South Vietnam
id 48 of maps.vietnam,945,48,Can Tho,1,1,Cuu Long River Delta
id 49 of maps.vietnam,945,49,Gia Lai,7,4,Southern Central Highlands
id 50 of maps.vietnam,945,50,Ha Giang,2,7,Eastern North Vietnam
id 51 of maps.vietnam,945,51,Ha Tay,5,6,Red River Delta
id 52 of maps.vietnam,945,52,Ha Tinh,4,5,Northern Central Vietnam
id 53 of maps.vietnam,945,53,Hoa Binh,8,7,Western North Vietnam
id 54 of maps.vietnam,945,54,Khanh Hoa,6,3,Southern Central Vietnam
id 55 of maps.vietnam,945,55,Kon Tum,7,4,Southern Central Highlands
id 56 of maps.vietnam,945,56,Lao Cai,2,7,Eastern North Vietnam
id 58 of maps.vietnam,945,58,Nghe An,4,5,Northern Central Vietnam
id 59 of maps.vietnam,945,59,Ninh Binh,5,6,Red River Delta
id 60 of maps.vietnam,945,60,Ninh Thuan,3,3,Eastern South Vietnam
id 61 of maps.vietnam,945,61,Phu Yen,6,3,Southern Central Vietnam
id 62 of maps.vietnam,945,62,Quang Binh,4,5,Northern Central Vietnam
id 63 of maps.vietnam,945,63,Quang Ngai,6,3,Southern Central Vietnam
id 64 of maps.vietnam,945,64,Quang Tri,4,5,Northern Central Vietnam
id 65 of maps.vietnam,945,65,Soc Trang,1,1,Cuu Long River Delta
id 66 of maps.vietnam,945,66,Thua Thien-Hue,4,5,Northern Central Vietnam
id 67 of maps.vietnam,945,67,Tra Vinh,1,1,Cuu Long River Delta
id 68 of maps.vietnam,945,68,Tuyen Quang,2,7,Eastern North Vietnam
id 69 of maps.vietnam,945,69,Vinh Long,1,1,Cuu Long River Delta
id 70 of maps.vietnam,945,70,Yen Bai,2,7,Eastern North Vietnam
id 71 of maps.vietnam,945,71,Bac Giang,2,7,Eastern North Vietnam
id 72 of maps.vietnam,945,72,Bac Kan,2,7,Eastern North Vietnam
id 73 of maps.vietnam,945,73,Bac Lieu,1,1,Cuu Long River Delta
id 74 of maps.vietnam,945,74,Bac Ninh,2,7,Eastern North Vietnam
id 75 of maps.vietnam,945,75,Binh Duong,3,2,Eastern South Vietnam
id 76 of maps.vietnam,945,76,Binh Phuoc,3,2,Eastern South Vietnam
id 77 of maps.vietnam,945,77,Ca Mau,1,1,Cuu Long River Delta
id 78 of maps.vietnam,945,78,Da Nang,6,3,Southern Central Vietnam
id 79 of maps.vietnam,945,79,Hai Duong,5,6,Red River Delta
id 80 of maps.vietnam,945,80,Ha Nam,5,6,Red River Delta
id 81 of maps.vietnam,945,81,Hung Yen,5,6,Red River Delta
id 82 of maps.vietnam,945,82,Nam Dinh,5,6,Red River Delta
id 83 of maps.vietnam,945,83,Phu Tho,2,7,Eastern North Vietnam
id 84 of maps.vietnam,945,84,Quang Nam,6,3,Southern Central Vietnam
id 85 of maps.vietnam,945,85,Thai Nguyen,2,7,Eastern North Vietnam
id 86 of maps.vietnam,945,86,Vinh Phuc,2,7,Eastern North Vietnam
